code,sub_c,sn,n,dep,program,Regulation,Semester,istheory,ispractical,L,T,P,IM,EM,Cr
14112107,PN,FM&HM LAB,Fluid Mechanics & Hydraulic Machinery Lab,2,UG,R-14,III SEM,0,1,0,0,3,50,50,2
14042108,PJ,EDS LAB,Electronic Devices and Circuits Lab,4,UG,R-14,III SEM,0,1,0,0,3,50,50,2
14042201,PJ,STLD,Switching Theory & Logic Design,2,UG,R-14,IV SEM,1,0,3,1,0,30,70,3
14042202,PJ,AEC,Analog Electronic Circuits,2,UG,R-14,IV SEM,1,0,3,1,0,30,70,3
14022203,PJ,GOEP,Generation of Electrical Power,2,UG,R-14,IV SEM,1,0,3,1,0,30,70,3
14022204,PJ,EMF,Electromagnetic Fields,2,UG,R-14,IV SEM,1,0,3,1,0,30,70,3
14022205,PJ,NT,Network Theory,2,UG,R-14,IV SEM,1,0,3,1,0,30,70,3
14022206,PJ,EM-II,Electrical Machines - II,2,UG,R-14,IV SEM,1,0,3,1,0,30,70,3
14022207,PJ,ECS LAB,Electrical Circuits and Simulation Lab,2,UG,R-14,IV SEM,0,1,0,0,3,50,50,2
14022208,PJ,EM-I LAB,Electrical Machines – I Lab,2,UG,R-14,IV SEM,0,1,0,0,3,50,50,2
14253101,HS,MEFA,Managerial Economics And Financial Analysis,2,UG,R-14,V SEM,1,0,3,1,0,30,70,3
14143102,PJ,LDICP,Linear& Digital Integrated Circuit Applications,2,UG,R-14,V SEM,1,0,3,1,0,30,70,3
14023103,PJ,CS,Control Systems,2,UG,R-14,V SEM,1,0,3,1,0,30,70,3
14023104,PJ,PE,Power Electronics,2,UG,R-14,V SEM,1,0,3,1,0,30,70,3
14023105,PJ,PS-I,Power Systems - I,2,UG,R-14,V SEM,1,0,3,1,0,30,70,3
14023106,PJ,EM-III,Electrical Machines - III,2,UG,R-14,V SEM,1,0,3,1,0,30,70,3
14023107,PJ,PE LAB,Power Electronics Lab,2,UG,R-14,V SEM,0,1,0,0,3,50,50,2
14023108,PJ,EM-II LAB,Electrical Machines – II Lab,2,UG,R-14,V SEM,0,1,0,0,3,50,50,2
14143201,PJ,MP&MC,Micro Processors & Microcontrollers,2,UG,R-14,VI SEM,1,0,3,1,0,30,70,3
14023202,PJ,EEM,Electrical & Electronic Measurements,2,UG,R-14,VI SEM,1,0,3,1,0,30,70,3
14023203,PJ,ACS,Advanced Control Systems,2,UG,R-14,VI SEM,1,0,3,1,0,30,70,3
14023204,PJ,PSCD,Power Semiconductor Drives,2,UG,R-14,VI SEM,1,0,3,1,0,30,70,3
